epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,0.527408,0.69469,0.5,1,0.79932,0,0,0
2,1.11789,0.74018,0.5,1,0.7815,1.58448e-05,1.58448e-05,1.58448e-05
3,1.68286,0.70296,0.5,1,0.76507,3.00393e-05,3.00393e-05,3.00393e-05
4,2.19222,0.6796,0.5,1,0.73484,4.25835e-05,4.25835e-05,4.25835e-05
5,2.71894,0.69197,0.5,1,0.7087,5.34774e-05,5.34774e-05,5.34774e-05
6,3.19919,0.61664,0.5,1,0.67032,6.27209e-05,6.27209e-05,6.27209e-05
7,3.75662,0.587,0.5,1,0.63446,7.03141e-05,7.03141e-05,7.03141e-05
8,4.22395,0.64732,0.5,1,0.61058,7.62569e-05,7.62569e-05,7.62569e-05
9,4.79639,0.57492,1,1,0.56806,8.05494e-05,8.05494e-05,8.05494e-05
10,5.30424,0.51131,1,1,0.52473,8.31916e-05,8.31916e-05,8.31916e-05
11,5.86949,0.55141,1,1,0.486,8.41835e-05,8.41835e-05,8.41835e-05
12,6.38893,0.46859,1,1,0.44891,8.3525e-05,8.3525e-05,8.3525e-05
13,6.89968,0.5223,1,1,0.42102,8.12162e-05,8.12162e-05,8.12162e-05
14,7.39362,0.4777,1,1,0.39276,7.72571e-05,7.72571e-05,7.72571e-05
15,7.98225,0.3785,1,1,0.36122,7.16477e-05,7.16477e-05,7.16477e-05
16,8.47516,0.39406,1,1,0.33793,6.43879e-05,6.43879e-05,6.43879e-05
17,9.05545,0.36089,1,1,0.31914,5.54778e-05,5.54778e-05,5.54778e-05
18,9.55707,0.33595,1,1,0.30082,4.49173e-05,4.49173e-05,4.49173e-05
19,10.1475,0.28708,1,1,0.29268,3.27065e-05,3.27065e-05,3.27065e-05
20,10.6683,0.4117,1,1,0.28025,1.88454e-05,1.88454e-05,1.88454e-05
